Rank,Coach,School,TotalPay,Conf.,ScheduledSchoolPay,ContractYearPandemicReduction,ActualSchoolPay,TotalPandemicReduction,Buyout
1,Nick Saban,Alabama,9753221,SEC,9500000,0,9500000,0,38400000
2,Ed Orgeron,Louisiana State,9012917,SEC,8687500,300000,8387500,300000,17150000
3,David Shaw,Stanford,8924683,Pac-12,8924683,na,8924683,na,na
4,Dabo Swinney,Clemson,8370775,ACC,9508575,1250000,8258575,1250000,47500000
5,Lincoln Riley,Oklahoma,7672710,Big12,7857293,214583,7642710,515000,25188000
6,Dan Mullen,Florida,7570000,SEC,7570000,0,7570000,0,12000000
7,Jimbo Fisher,Texas A&M,7500000,SEC,7500000,0,7500000,0,95575000
8,Kirby Smart,Georgia,7133600,SEC,7003600,0,7003600,0,14614167
9,Ryan Day,Ohio State,6614693,BigTen,6750000,135307,6614693,236877,28416668
10,Gary Patterson,Texas Christian,6103543,Big12,6103543,na,6103543,na,na
11,Pat Fitzgerald,Northwestern,5748179,BigTen,5748179,na,5748179,na,na
12,Chip Kelly,UCLA,5600000,Pac-12,5600000,0,5600000,0,9000000
13,Mel Tucker,Michigan State,5566303,BigTen,5632553,166250,5466303,266000,19284375
14,Steve Sarkisian,Texas,5450000,Big12,5450000,0,5450000,0,20603333
15,Mark Stoops,Kentucky,5263600,SEC,5250000,0,5250000,0,19921875
16,Kyle Whittingham,Utah,5200000,Pac-12,5200000,0,5200000,365822,18250000
17,Scott Frost,Nebraska,5000000,BigTen,5000000,0,5000000,166667,20416667
18,Kirk Ferentz,Iowa,5000000,BigTen,5000000,0,5000000,100000,16503333
19,Bryan Harsin,Auburn,5000000,SEC,5000000,0,5000000,0,17791667
20,Mike Leach,Mississippi State,5000000,SEC,5000000,0,5000000,0,na
21,Lane Kiffin,Mississippi,4841937,SEC,5000000,158063,4841937,293813,na
22,Pat Narduzzi,Pittsburgh,4816806,ACC,4816806,na,4816806,na,na
23,Clay Helton,Southern California,4813832,Pac-12,4813832,na,4813832,na,na
24,P.J. Fleck,Minnesota,4420000,BigTen,4650000,230000,4420000,548320,15851875
25,Jeff Brohm,Purdue,4417774,BigTen,5000000,582226,4417774,873340,18966667
26,Mario Cristobal,Oregon,4402917,Pac-12,4600000,197083,4402917,360208,15030000
27,Paul Chryst,Wisconsin,4362750,BigTen,4650000,321250,4328750,751250,19103724
28,Tom Allen,Indiana,4260000,BigTen,4310000,50000,4260000,50000,30000000
29,Bronco Mendenhall,Virginia,4251500,ACC,4250000,0,4250000,264794,13281250
30,Mike Gundy,Oklahoma State,4203125,Big12,4375000,171875,4203125,263021,7119792
31,Bret Bielema,Illinois,4200000,BigTen,4200000,0,4200000,0,15138425
32,Jim Harbaugh,Michigan,4030901,BigTen,4000000,0,4000000,264687,4444444
33,Dana Holgorsen,Houston,4000000,AAC,4000000,0,4000000,190000,5431250
34,Greg Schiano,Rutgers,4000000,BigTen,4000000,0,4000000,266664,19218750
35,Josh Heupel,Tennessee,4000000,SEC,4000000,0,4000000,0,20666667
36,Eliah Drinkwitz,Missouri,4000000,SEC,4000000,0,4000000,100000,11550000
37,Matt Campbell,Iowa State,4000000,Big12,4000000,0,4000000,248562,28333333
38,Herm Edwards,Arizona State,3886500,Pac-12,3700000,0,3700000,0,11408333
